contest_num,total_participants,problem1,problem2,problem3,problem4,total_accepted
weekly-contest-216,9573,0.43580904627598455,0.3169330408440405,0.24830251749712734,0.11521988927191058,0.2790661234722657
biweekly-contest-40,6154,0.37617809554761134,0.3636659083522912,0.2450438739031524,0.10285992850178746,0.2719369515762106
weekly-contest-217,9462,0.4622701331642359,0.15514690340308604,0.028640879306700485,0.012365250475586557,0.16460579158740224
weekly-contest-218,9828,0.44515669515669515,0.38196988196988196,0.2526455026455027,0.02218152218152218,0.2754884004884005
biweekly-contest-41,6572,0.5,0.3612294583079732,0.08186244674376142,0.008673158855751673,0.23794126597687157
weekly-contest-219,9290,0.4743810548977395,0.39106566200215287,0.10645855758880517,0.053283100107642624,0.25629709364908504
weekly-contest-220,9606,0.3936081615656881,0.29439933374973976,0.10264418072038309,0.03352071621902977,0.20604309806371016
biweekly-contest-42,6631,0.42421957472477756,0.40220177952043434,0.15819635047504146,0.016287136178555272,0.25022621022470215
weekly-contest-221,8838,0.4666214075582711,0.11959719393527947,0.18827789092554878,0.02602398732744965,0.20013011993663726
weekly-contest-222,9692,0.422616591002889,0.16467189434585225,0.06851011143210896,0.02548493602971523,0.17032088320264135
biweekly-contest-43,7873,0.5187349168042678,0.13006477835640798,0.06096786485456624,0.0010161310809094373,0.17769592277403787
weekly-contest-223,10672,0.4387181409295352,0.3792166416791604,0.12265742128935532,0.0341079460269865,0.24367503748125935
weekly-contest-224,11023,0.4604009797695727,0.29329583597931597,0.11494148598385194,0.004082373219631679,0.21818016873809307
biweekly-contest-44,8568,0.5634920634920635,0.08251633986928104,0.08695144724556489,0.015289449112978524,0.187062324929972
weekly-contest-225,11283,0.46920145351413634,0.09421253212798014,0.21687494460693077,0.043162279535584505,0.20586280244615796
weekly-contest-226,11433,0.44222863640339366,0.2564506253826642,0.12280241406454999,0.1056590571153678,0.23178518324149391
biweekly-contest-45,8426,0.5745312129124139,0.27486351768336104,0.30073581770709706,0.06871587942084026,0.3047116069309281
weekly-contest-227,11076,0.38136511375947996,0.30101119537739257,0.1429216323582521,0.02049476345250993,0.21144817623690862
weekly-contest-228,9869,0.4777586381598946,0.3252609180261425,0.1002127875164657,0.08997872124835343,0.24830276623771408
biweekly-contest-46,8740,0.36727688787185353,0.30217391304347824,0.14439359267734553,0.034324942791762014,0.2120423340961098
weekly-contest-229,11178,0.548040794417606,0.46904634102701737,0.07380568974771873,0.0497405618178565,0.2851583467525497
weekly-contest-230,11654,0.4961386648361078,0.13754933928264973,0.12931182426634633,0.012356272524455123,0.19383902522738977
biweekly-contest-47,9933,0.36796536796536794,0.25762609483539717,0.17577771066143158,0.010671499043592067,0.20301016812644718
weekly-contest-231,12900,0.46162790697674416,0.3117829457364341,0.0644186046511628,0.007596899224806201,0.2113565891472868
weekly-contest-232,12541,0.35037078382904074,0.3718204289929033,0.1262259787895702,0.0914600111633841,0.2349693006937246
biweekly-contest-48,9129,0.3952240113922664,0.26421294774893195,0.0886186876985431,0.0521415270018622,0.2000492934604009
weekly-contest-233,12037,0.4094043366287281,0.18650826617928054,0.09728337625654233,0.016033895488909197,0.17730746863836505
weekly-contest-234,12422,0.3004347126066656,0.2709708581548865,0.27950410561906297,0.058042183223313476,0.2272379649009821
biweekly-contest-49,9082,0.38317551200176175,0.1135212508258093,0.13829552961902664,0.007487337590839022,0.16061990750935914
weekly-contest-235,11443,0.4261120335576335,0.36223018439220483,0.11185877829240584,0.013283229922223192,0.22837105654111683
weekly-contest-236,12115,0.4179942220387949,0.32216260833677257,0.15030953363598845,0.013041683862979776,0.2258770119686339
biweekly-contest-50,10097,0.4255719520649698,0.3709022481925324,0.2721600475388729,0.009507774586510845,0.26953550559572154
weekly-contest-237,11446,0.46479119343001923,0.4244277476847807,0.14031102568582912,0.14773720076882754,0.29431679189236415
weekly-contest-238,11635,0.437559088955737,0.1198109153416416,0.267640739149119,0.023291792006875804,0.21207563386334335
